,symbolic_function
0,0.142173871397972*tan(1.24743986129761*x0 + 0.0736000165343285) - 0.0261605959385633
1,0.211340576410294 - 0.201444357633591*log(3.12427997589111 - 2.82223987579346*x0)
2,0.148368396436747*exp(1.24647986888885*x0) - 0.167453676462173
3,19.8809986114502*tanh(0.630039930343628*x0 - 2.7972400188446) + 19.7146034240723
4,-0.118089198780074*(-0.561765927301431*x0 - 1)**3 - 0.137321621179581
