,symbolic_function
0,0.0224009137600660
1,0.40078294896216*x0 - 0.00494906136729334
2,0.399740721191033*exp(0.85999995470047*x0) - 0.408241927623749
3,0.185071715473725*(-0.955168589669876*x0 - 1)**2 - 0.194431781768799
4,7.59370231628418 - 7.78556299209595*cos(0.211399927735329*x0 + 0.216919928789139)
