,symbolic_function
0,6.39919744571671e-5*tan(0.0116400653496385*x0 + 4.70955991744995) - 0.02261957898736
1,0.0185928273581124*exp(5.0*x0) - 0.0185928978025913
2,-0.030939829979987*(-x0 - 0.999991989087611)**3 - 0.0309391058981419
3,0.00173559703398496*log(5.0*x0 + 0.0999999269843102) + 0.00399551587179303
4,0.0463263541460037 - 0.0463263277197257*(1 - x0)**2
