,symbolic_function
0,0.0242320876568556*sin(3.23411989212036*x0 + 2.50607991218567) - 0.00972179882228374
1,-0.024227162823081*cos(3.23535990715027*x0 - 2.20635986328125) - 0.00971904303878546
2,0.0202370062470436 - 0.0144440038129687*Abs(4.27796030044556*x0 + 1.12267994880676)
3,-0.0221590586006641*tanh(3.97936010360718*x0 - 0.691479921340942) - 0.00870746001601219
4,0.0128895090892911 - 0.0375461020630036*(-x0 - 0.506296815684993)**2
