,symbolic_function
0,0.0324470005359101*(-0.9830920403125*x0 - 1)**2 - 0.0324458479881287
1,-0.0454870155331667*(-0.467169349491855*x0 - 1)**3 - 0.0454814918339252
2,0.110313221812248*tanh(0.882119953632355*x0 - 0.674519956111908) + 0.0648557767271996
3,0.0727775754511134*exp(0.876519918441772*x0) - 0.0727675706148148
4,0.0988343060016632 - 0.125260218977928*sin(0.830159902572632*x0 + 2.23227977752686)
