,symbolic_function
0,0.0394217520952225 - 0.216835930943489*sin(3.14743995666504*x0 + 0.77239990234375)
1,0.216946601867676*cos(3.14568018913269*x0 - 3.93936014175415) + 0.0395593345165253
2,0.244119107723236*tanh(2.87339997291565*x0 - 2.16519999504089) + 0.0398118197917938
3,0.381566024591324*(-x0 - 0.0729961691502505)**2 - 0.226035311818123
4,0.133100762963295*Abs(4.68955993652344*x0 - 1.49663996696472) - 0.229106441140175
