,symbolic_function
0,1.13714671134949*sin(0.721559941768646*x0 - 0.407359927892685) - 0.365909814834595
1,-1.12631928920746*cos(0.728599905967712*x0 + 1.15847992897034) - 0.364820539951324
2,1.58052539825439*tanh(0.519199907779694*x0 - 0.294559925794601) - 0.363651931285858
3,0.811128707415598*x0 - 0.823271369943368
4,14.6982288360596 - 15.5262443395016*(1 - 0.0266038711946222*x0)**2
