,symbolic_function
0,0.00524962320923805*sin(4.99996995925903*x0 + 2.79999995231628) + 0.000143758021295071
1,0.000145248603075743 - 0.00525479624047875*cos(4.98797988891602*x0 - 1.90399992465973)
2,0.00428827432915568*Abs(4.9378399848938*x0 - 1.91271996498108) - 0.00634128600358963
3,0.00554076954722404*tanh(4.87108039855957*x0 - 3.48556017875671) + 0.000614616321399808
4,0.0174890434813455*(0.168488458344246 - x0)**2 - 0.00484374910593033
