,symbolic_function
0,0.578883409500122 - 0.441596539867634*exp(0.868079960346222*x0)
1,0.294030584088453*(-0.434644754550466*x0 - 1)**3 + 0.431317836046219
2,0.358429491519928 - 0.22114254503395*(-0.866970150886279*x0 - 1)**2
3,0.176126956939697 - 0.1822479814291*tan(2.00559997558594*x0 + 0.209999933838844)
4,0.222785279154778*sin(1.89339995384216*x0 + 2.71463990211487) + 0.0450319871306419
