,symbolic_function
0,0.000217452630749904*sin(5.0*x0 + 3.5) - 4.9297115765512e-5
1,-0.000217389140743762*cos(5.0*x0 - 1.19999992847443) - 5.07072509208228e-5
2,0.000224698160309345*tanh(5.0*x0 - 2.79999995231628) - 4.55228218925186e-5
3,0.000167052494361997 - 0.000157460162881762*Abs(4.89976024627686*x0 - 3.97655987739563)
4,0.00198694341816008 - 0.00239838720759829*(1 - 0.145684485725611*x0)**2
