,symbolic_function
0,0.241354048252106 - 0.356946736574173*tan(1.01967990398407*x0 + 0.285679936408997)
1,0.643929600715637*log(2.66960000991821 - 1.64587986469269*x0) - 0.495751351118088
2,0.781265258789063 - 0.644723067464024*exp(0.61627995967865*x0)
3,0.430616496066697*(-0.307693745814931*x0 - 1)**3 + 0.567158579826355
4,0.465521216392517 - 0.328991222753905*(-0.604348014004614*x0 - 1)**2
