,symbolic_function
0,2.13847215491114e-8*tan(5.0*x0 - 4.69999980926514) + 0.143833696842194
1,0.143977582454681 - 0.000145625987050956*exp(-5.0*x0)
2,0.144074693322182 - 0.000242741236888833*(0.999993991851807 - x0)**3
3,0.143831938505173
4,0.00072826434916351*x0 + 0.143831962428521
