,symbolic_function
0,-2.11095380783081*sin(0.39083993434906*x0 - 0.924479961395264) - 1.29680943489075
1,-1.9400395154953*cos(0.415079951286316*x0 + 3.80408000946045) - 1.14149034023285
2,-2.15836262702942*tanh(0.369119912385941*x0 - 0.705079913139343) - 0.92244827747345
3,1.00981020927429 - 0.619715938687788*(-0.410867098193535*x0 - 1)**2
4,0.933788448753118*(-0.183667968664655*x0 - 1)**3 + 1.32465124130249
