,symbolic_function
0,0.295975238084793 - 0.889514684677124*cos(0.435119926929474*x0 + 0.988279938697815)
1,0.866562902927399*sin(0.445959955453873*x0 - 0.583679914474487) + 0.284319251775742
2,1.30259239673615*tanh(0.299999922513962*x0 - 0.431999921798706) + 0.336410760879517
3,0.97181837410452*(-0.17087434318813*x0 - 1)**2 - 1.16639721393585
4,-1.3549778213768*(-0.0818317593238067*x0 - 1)**3 - 1.54962038993835
