Using an existing study with name 'model-epidemics-mpnn-epidemics_mpnn_ic3_s5' instead of creating a new one.
Trial 1 finished with value: 0.00015596918819937855 and parameters: {'lr': 0.000513389247814808, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 24, 'af_g_net': 'relu', 'drop_p_g_net': 0.005621237845183495, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.13402938606353093}. Best is trial 1 with value: 0.00015596918819937855.
Trial 6 finished with value: 0.00010920261411229149 and parameters: {'lr': 0.0005539186366240455, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.007497989411846747, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.007626957190300253}. Best is trial 6 with value: 0.00010920261411229149.
Trial 9 finished with value: 6.586806557606906e-05 and parameters: {'lr': 0.0010251442665902858, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.00012640702792709394, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.1387193314952611}. Best is trial 9 with value: 6.586806557606906e-05.
Trial 11 finished with value: 0.0005936457309871912 and parameters: {'lr': 0.010699930263775826, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.001160720574727321, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0006242480900026514}. Best is trial 9 with value: 6.586806557606906e-05.
Trial 15 finished with value: 8.662141772219911e-05 and parameters: {'lr': 0.004618695261482995, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.00032602570587633576, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 8, 'af_h_net': 'tanh', 'drop_p_h_net': 0.023800266643495476}. Best is trial 14 with value: 6.533048144774511e-05.
Trial 18 finished with value: 0.000160702780704014 and parameters: {'lr': 0.0008866548030335525, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'tanh', 'drop_p_g_net': 0.00010382244701002582, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0018832515248720172}. Best is trial 16 with value: 5.037042865296826e-05.
Trial 21 finished with value: 0.00018679539789445698 and parameters: {'lr': 0.014861771683816262, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0028886800531995977, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'tanh', 'drop_p_h_net': 0.3803914605127365}. Best is trial 16 with value: 5.037042865296826e-05.
Trial 25 finished with value: 5.973519728286192e-05 and parameters: {'lr': 0.0068106832082207355, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.00040137104111821916, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'tanh', 'drop_p_h_net': 0.04354148549280994}. Best is trial 16 with value: 5.037042865296826e-05.
Trial 27 finished with value: 8.139412966556847e-05 and parameters: {'lr': 0.007491863565683588, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.0002608497717412473, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'tanh', 'drop_p_h_net': 0.04094283506597427}. Best is trial 24 with value: 5.0071368605131283e-05.
Trial 29 finished with value: 6.830941856605932e-05 and parameters: {'lr': 0.0026792900734441054, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.0015747904838213083, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'tanh', 'drop_p_h_net': 0.014750041548156971}. Best is trial 24 with value: 5.0071368605131283e-05.
