x,sigxjminusxi
13770.0,0.1537127
14483.0,0.15719743
15202.0,0.16068216
15930.0,0.16416688
16666.0,0.16765161
1.0,0.047672864
2.0,0.11398521
3.0,0.18567355
4.0,0.25978604
6.0,0.32721496
8.0,0.39722565
13.0,0.45805368
20.0,0.5176908
27.0,0.5815469
43.0,0.6041931
61.0,0.62732565
79.0,0.650618
99.0,0.6752374
123.0,0.7019769
152.0,0.72753406
191.0,0.7525519
245.0,0.7769605
305.0,0.8035665
380.0,0.829998
469.0,0.8567121
583.0,0.8817804
756.0,0.90385026
953.0,0.9248137
1180.0,0.945999
1458.0,0.96701753
1770.0,0.9995383
2082.0,1.0332239
2476.0,1.0645864
2899.0,1.0959489
3354.0,1.1273115
3849.0,1.158674
4402.0,1.1900363
4976.0,1.2219795
5572.0,1.2545035
6195.0,1.2870275
6823.0,1.3230362
7466.0,1.3625296
8137.0,1.4020231
8822.0,1.4415165
9529.0,1.4810102
10255.0,1.5623204
11002.0,1.6436305
11782.0,1.7249407
12604.0,1.8062508
1.0,0.18605797
2.0,0.3957383
3.0,0.63242567
4.0,0.8780916
5.0,1.1292319
6.0,1.382876
7.0,1.6418438
8.0,1.910398
9.0,2.199609
10.0,2.4913924
11.0,2.7866538
12.0,3.0825152
13.0,3.3806489
14.0,3.679055
15.0,3.9781203
16.0,4.27722
17.0,4.576861
18.0,4.876502
19.0,5.176143
20.0,5.4757843
21.0,5.7757735
22.0,6.08227
23.0,6.388767
24.0,6.695264
25.0,7.020038
26.0,7.3452783
28.0,7.670519
36.0,7.994143
49.0,8.31509
72.0,8.619466
122.0,8.923798
231.0,9.228128
400.0,9.53246
600.0,9.834511
839.0,10.138843
1106.0,10.443174
1420.0,10.745183
1734.0,11.049515
2293.0,11.34627
2982.0,11.640151
3868.0,11.906151
4926.0,12.16402
6169.0,12.419565
7655.0,12.665819
1.0,1.0260088
5.0,1.2579768
9.0,1.8257608
13.0,2.490993
18.0,3.2870398
26.0,3.9407554
36.0,4.559451
48.0,5.188933
60.0,6.025589
72.0,6.9173584
84.0,7.824299
97.0,8.765447
110.0,9.753178
124.0,10.739284
138.0,11.766772
154.0,12.817772
170.0,13.882318
186.0,14.962662
202.0,16.045248
218.0,17.127834
234.0,18.210423
250.0,19.550722
266.0,20.89564
282.0,22.255844
298.0,23.616066
314.0,24.995714
330.0,26.466192
346.0,28.23644
362.0,30.00751
379.0,31.795353
406.0,33.583015
452.0,35.370674
500.0,37.158337
579.0,38.946
709.0,40.73366
868.0,42.521324
1064.0,44.308987
1326.0,46.09665
1808.0,47.857594
2478.0,49.59981
3277.0,51.294548
4317.0,52.9405
5493.0,54.578316
6950.0,56.140633
1.0,0.014788055
2.0,0.031512152
3.0,0.052877482
4.0,0.074407026
5.0,0.09610426
7.0,0.11435137
9.0,0.13287184
12.0,0.15001506
22.0,0.16323756
32.0,0.17690238
42.0,0.19083652
52.0,0.20569107
64.0,0.21958682
80.0,0.23150052
96.0,0.24367027
175.0,0.25412443
290.0,0.26457858
461.0,0.27503273
666.0,0.28548688
891.0,0.29594103
1149.0,0.30639517
1416.0,0.31684932
1699.0,0.32730347
2005.0,0.33775768
2331.0,0.34821182
2683.0,0.35980666
3052.0,0.37258396
3456.0,0.38536125
3994.0,0.39813855
4569.0,0.41091585
5214.0,0.42369315
5893.0,0.4364705
6608.0,0.4492478
7353.0,0.4620251
8132.0,0.47596395
8990.0,0.48990268
9951.0,0.5037031
10990.0,0.517642
12087.0,0.5315809
13195.0,0.5466813
14344.0,0.56178176
15529.0,0.57688224
16736.0,0.5943058
17994.0,0.61405253
1.0,0.097125396
2.0,0.20769815
3.0,0.33771065
5.0,0.44398794
11.0,0.50164616
17.0,0.5775393
35.0,0.62231994
53.0,0.6711141
72.0,0.72339004
93.0,0.7759404
127.0,0.8271123
170.0,0.8793803
213.0,0.93169284
303.0,0.9802546
432.0,1.0278786
561.0,1.0755031
730.0,1.1266123
953.0,1.1765367
1245.0,1.2253227
1802.0,1.2671393
2485.0,1.3089559
3270.0,1.3507725
4176.0,1.3925891
5301.0,1.4344058
6630.0,1.4762224
8194.0,1.518039
10013.0,1.5598556
12134.0,1.6016722
14549.0,1.6434888
17164.0,1.6853054
20074.0,1.727122
23309.0,1.7689388
26756.0,1.8107554
30605.0,1.852572
34878.0,1.8943886
39482.0,1.9547904
44476.0,2.015192
49840.0,2.0755851
55549.0,2.1325023
61623.0,2.1894193
68197.0,2.2463365
76286.0,2.28583
85214.0,2.3253236
94869.0,2.3648171
1.0,0.036182426
2.0,0.07930775
3.0,0.1279941
4.0,0.17779425
5.0,0.22929053
6.0,0.28099725
8.0,0.32730323
10.0,0.3756192
13.0,0.42185968
16.0,0.4690266
21.0,0.50953406
28.0,0.5480747
47.0,0.57330835
81.0,0.59654564
132.0,0.6197771
191.0,0.6430086
268.0,0.66624004
408.0,0.6894715
611.0,0.71270293
946.0,0.73021007
1430.0,0.74763364
2100.0,0.7650572
2898.0,0.7824808
3773.0,0.7999046
4872.0,0.81732816
6205.0,0.8347517
7658.0,0.8521753
9263.0,0.86959887
11094.0,0.88702244
13044.0,0.904446
15032.0,0.9218696
17210.0,0.93929327
19529.0,0.96484786
22016.0,0.99040246
24628.0,1.0159571
27357.0,1.0415118
30161.0,1.0670664
33004.0,1.0926211
35974.0,1.1181757
39008.0,1.1437302
42123.0,1.1692848
45346.0,1.2087783
48616.0,1.2482717
51897.0,1.2877651
1.0,0.13246098
2.0,0.28805286
8.0,0.31192338
23.0,0.31193477
42.0,0.31290266
67.0,0.32124075
99.0,0.3395532
155.0,0.34943438
242.0,0.36088485
350.0,0.37249196
497.0,0.38410768
673.0,0.39688498
878.0,0.40966228
1278.0,0.41779327
1876.0,0.42592427
2578.0,0.4340553
3574.0,0.4421863
4664.0,0.45380202
5885.0,0.46541774
7218.0,0.47703347
8681.0,0.49213392
10231.0,0.50723433
11977.0,0.52233475
13891.0,0.53975844
16009.0,0.557182
18394.0,0.5746056
21015.0,0.59202915
23878.0,0.6094527
26962.0,0.6268763
30331.0,0.64429986
34086.0,0.66172343
38101.0,0.6791472
42385.0,0.69657075
46830.0,0.7139943
51471.0,0.76742667
56334.0,0.820859
61481.0,0.8905534
66851.0,0.9602564
72401.0,1.0334355
78088.0,1.1066147
83953.0,1.1797938
90039.0,1.252973
96125.0,1.3865539
102336.0,1.5201348
1.0,0.13924769
2.0,0.30915612
7.0,0.3734578
12.0,0.45485252
23.0,0.50903887
39.0,0.56962264
61.0,0.62827474
92.0,0.6869366
141.0,0.74047995
209.0,0.7922142
312.0,0.84332347
431.0,0.8955964
608.0,0.94786793
846.0,1.0024598
1097.0,1.0570537
1452.0,1.1093245
1877.0,1.1615952
2413.0,1.2127044
3047.0,1.2684599
3796.0,1.3242154
4697.0,1.3776478
5748.0,1.4310801
6969.0,1.4845124
8358.0,1.5379449
9996.0,1.5913773
11858.0,1.6448096
13913.0,1.698242
16224.0,1.7516743
18778.0,1.8051066
21724.0,1.858539
25107.0,1.9119713
28734.0,1.9654039
32836.0,2.0188363
37249.0,2.0722687
42097.0,2.0896924
47302.0,2.107116
52877.0,2.1582253
58832.0,2.2093346
65188.0,2.260444
71862.0,2.3115525
78796.0,2.3626618
85998.0,2.4311945
93580.0,2.4997272
101498.0,2.56826
1.0,0.12604378
2.0,0.27856246
3.0,0.46055037
4.0,0.6460036
5.0,0.8382038
6.0,1.0334952
7.0,1.2303988
8.0,1.4326653
9.0,1.6450448
10.0,1.8575482
11.0,2.0701833
12.0,2.2828498
13.0,2.4964073
14.0,2.7099655
15.0,2.9237852
16.0,3.137618
17.0,3.3514533
18.0,3.5652885
19.0,3.7791238
20.0,3.992959
21.0,4.2067943
22.0,4.42326
23.0,4.639726
24.0,4.8561926
25.0,5.083016
26.0,5.3101034
28.0,5.537191
35.0,5.766153
42.0,5.9972816
54.0,6.228209
68.0,6.459362
83.0,6.6905146
104.0,6.9216676
139.0,7.1528206
233.0,7.3839736
334.0,7.6151266
495.0,7.8462796
698.0,8.077433
946.0,8.308586
1301.0,8.53974
1801.0,8.770893
2400.0,9.002047
3214.0,9.226231
4175.0,9.450415
1.0,0.011477267
2.0,0.02784253
3.0,0.045927916
6.0,0.061021484
9.0,0.07727069
16.0,0.09033099
29.0,0.09772221
46.0,0.10473845
70.0,0.110879794
108.0,0.11668768
159.0,0.12352152
221.0,0.13281411
283.0,0.1421067
399.0,0.15023771
549.0,0.1572073
751.0,0.16417673
991.0,0.17114617
1265.0,0.1786964
1667.0,0.18566583
2221.0,0.1914737
2930.0,0.19728155
3857.0,0.20076628
5027.0,0.204251
6214.0,0.20773572
7494.0,0.21122044
8820.0,0.2170283
10173.0,0.22283617
11553.0,0.22864403
13015.0,0.23445204
14520.0,0.24142148
16105.0,0.24839091
17760.0,0.25536034
19446.0,0.2623298
21195.0,0.27046078
23040.0,0.27859178
24974.0,0.28672278
26977.0,0.29485378
29005.0,0.30298477
31178.0,0.31111577
33450.0,0.31924683
35865.0,0.32737783
38371.0,0.33666754
40976.0,0.3459601
43759.0,0.35525268
1.0,0.00813101
2.0,0.01626202
4.0,0.02222373
6.0,0.028722223
8.0,0.03528911
10.0,0.041897777
12.0,0.049300537
14.0,0.05673749
16.0,0.06473106
18.0,0.073239245
22.0,0.07926593
32.0,0.082841225
42.0,0.08864826
55.0,0.09445619
75.0,0.10026377
102.0,0.1060716
142.0,0.11187918
198.0,0.11768492
264.0,0.12349275
339.0,0.12930061
414.0,0.13510847
505.0,0.14091633
596.0,0.1467242
735.0,0.15253207
874.0,0.15833993
1067.0,0.1641478
1300.0,0.16995566
1606.0,0.17576352
2115.0,0.1804098
2670.0,0.18505609
3320.0,0.1896606
3978.0,0.19430692
4636.0,0.19895321
5366.0,0.2035995
6096.0,0.20824578
6916.0,0.21289207
7736.0,0.21753836
8556.0,0.22218464
9376.0,0.22683093
10224.0,0.23178965
11072.0,0.24720249
12068.0,0.26230294
13064.0,0.27740338
14081.0,0.29250383
2.0,0.0037047376
6.0,0.0046442095
17.0,0.004647881
35.0,0.0046479343
53.0,0.0046557095
78.0,0.0046634837
106.0,0.0056866016
137.0,0.005998997
173.0,0.0071527963
212.0,0.008322986
253.0,0.010421744
298.0,0.015068036
345.0,0.019714328
401.0,0.026683766
460.0,0.033653203
534.0,0.040622644
621.0,0.04759208
708.0,0.054561518
813.0,0.061530955
936.0,0.06850039
1080.0,0.07546983
1228.0,0.08360861
1399.0,0.09205202
1570.0,0.1013446
1786.0,0.11063719
2010.0,0.119929776
2256.0,0.12922236
2514.0,0.13851495
2807.0,0.14780754
3116.0,0.15710118
3441.0,0.16755535
3811.0,0.17800947
4200.0,0.18846363
4608.0,0.19895957
5032.0,0.21173687
5514.0,0.22220658
6004.0,0.23498388
6512.0,0.24776118
7056.0,0.26053846
7619.0,0.2729004
8199.0,0.28225565
8811.0,0.29154822
9442.0,0.3008408
10092.0,0.31013337
1.0,0.6634596
2.0,1.5283425
3.0,2.4986916
4.0,3.5037494
5.0,4.5485225
6.0,5.60522
7.0,6.6746445
8.0,7.773335
10.0,8.822356
12.0,9.883237
14.0,10.954446
16.0,12.026787
18.0,13.101711
20.0,14.180331
22.0,15.260203
24.0,16.34015
26.0,17.420647
28.0,18.501143
30.0,19.581638
32.0,20.662134
34.0,21.743166
36.0,22.86231
38.0,23.981455
40.0,25.100601
46.0,26.192007
59.0,27.263224
74.0,28.243353
106.0,28.922024
151.0,29.600382
235.0,30.279902
355.0,30.955936
520.0,31.631975
742.0,32.30801
1001.0,32.984047
1401.0,33.65776
1901.0,34.331474
2574.0,34.997055
3647.0,35.616173
5342.0,36.17373
7619.0,36.71502
9896.0,37.263283
15128.0,37.730236
21519.0,38.136787
29317.0,38.538692
1.0,0.087344654
2.0,0.18657038
3.0,0.29323095
5.0,0.3749759
7.0,0.45961827
9.0,0.54680246
11.0,0.6385895
