,symbolic_function
0,0.912236154079437*tanh(0.626639902591705*x0 - 0.458359926939011) + 0.337107419967651
1,0.344401478767395 - 0.67978036403656*sin(0.840839922428131*x0 + 2.51575994491577)
2,0.676955342292786*cos(0.843999922275543*x0 + 4.08739995956421) + 0.342241317033768
3,1.43054628366339*(-0.177523939543081*x0 - 1)**2 - 1.48989808559418
4,-2.04360289165251*(-0.0831266402185063*x0 - 1)**3 - 2.10323119163513
