,symbolic_function
0,-0.106873475015163*tanh(1.75355994701385*x0 - 0.957639873027802) - 0.0132557488977909
1,-0.0826811566948891*sin(2.24900007247925*x0 - 1.22743988037109) - 0.0132138440385461
2,-0.0825375095009804*cos(2.25359988212585*x0 + 3.48304009437561) - 0.0131693007424474
3,0.513876736164093 - 0.437434077874229*(-0.178114066338719*x0 - 1)**2
4,0.62970309576141*(-0.0828121636292509*x0 - 1)**3 + 0.70624703168869
