,symbolic_function
0,0.060257762670517 - 0.253246694803238*tan(0.717479884624481*x0 - 0.0113599952310324)
1,0.372449189424515*log(3.93239998817444 - 1.71971988677979*x0) - 0.449347525835037
2,0.338307976722717 - 0.27832560894145*exp(0.567119956016541*x0)
3,-4.14711856842041*tanh(0.312079906463623*x0 - 1.71599996089935) - 3.82757568359375
4,0.156863637400529*(-0.329257003533252*x0 - 1)**3 + 0.216509431600571
