,symbolic_function
0,-3.60171985626221*tan(0.34651991724968*x0 - 0.390199929475784) - 1.23431444168091
1,12.9336032867432 - 8.6321439743042*log(0.716599881649017*x0 + 4.35003995895386)
2,-9.20264053344727 + 9.44467234451013*exp(-0.149999931454659*x0)
3,6.52658152946409*(1 - 0.0722683631502765*x0)**3 - 6.28474998474121
4,18.7476921081543 - 26.4998321533203*tanh(0.10428000241518*x0 + 0.864039957523346)
