,symbolic_function
0,1.78239464759827 - 1.79822423778312*(1 - 0.131229175611388*x0)**2
1,3.61512279510498 - 3.63095977566019*exp(-0.129959985613823*x0)
2,2.40319561958313 - 2.41902673756096*(1 - 0.0650350719229063*x0)**3
3,1.69034767150879*tan(0.271999925374985*x0 + 2.971519947052) + 0.274484187364578
4,-2.04005479812622*sin(0.263999938964844*x0 + 3.64600014686584) - 1.00177180767059
