,symbolic_function
0,0.0106166852638125*tan(3.57287979125977*x0 + 3.01483988761902) - 0.0103508085012436
1,0.0189151279628277*log(4.71411991119385*x0 + 2.3076798915863) - 0.0274795405566692
2,0.00627623684704304 - 0.0179331978462061*exp(-2.16476011276245*x0)
3,0.000111245550215244 - 0.0157850823069174*(0.906702065514626 - x0)**3
4,-0.0435057738780967*(0.448865888985101 - x0)**2 - 0.00288815051317215
