,symbolic_function
0,1.99933803081512
1,0.000324275824823417*x0 + 1.99915623775814
2,1.99932324886322 - 4.26354272349272e-5*log(3.44603991508484 - 4.86407995223999*x0)
3,4.21599852785948e-6*exp(5.0*x0) + 1.99926793575287
4,3.11373923977953e-6*tan(0.399999916553497*x0 + 1.27571988105774) + 1.99929308891296
