,symbolic_function
0,0.560795426368713
1,0.572272667240723 - 0.00270386843202117*x0
2,0.561009109020233 - 0.0227975770831108*sin(3.22199988365173*x0 + 4.59999990463257)
3,0.0227974336594343*cos(3.22000002861023*x0 - 0.0999999269843102) + 0.561007380485535
4,7.18665272514975e-15*exp(3.69355988502502*x0) + 0.560172140598297
