,symbolic_function
0,-0.697407245635986*sin(1.49624001979828*x0 - 0.378639936447144) - 0.140306696295738
1,0.69987428188324*cos(1.4903599023819*x0 + 1.19471991062164) - 0.139582023024559
2,-0.861857116222382*tanh(1.2131199836731*x0 - 0.336199909448624) - 0.165166109800339
3,1.29761711312439*(1 - 0.47319557208516*x0)**2 - 1.14878106117249
4,1.55248567943852*(1 - 0.267364698899857*x0)**3 - 1.4017961025238
