,symbolic_function
0,0.25960236787796*tan(1.19795989990234*x0 + 3.19804000854492) - 0.0325386673212051
1,0.622959315776825*log(1.98803997039795*x0 + 4.1671199798584) - 0.907218337059021
2,0.552441596984863 - 0.570546403891764*exp(-0.519959926605225*x0)
3,3.19225120544434*tanh(0.315839916467667*x0 + 1.22179996967316) - 2.70018243789673
4,0.345588147640228 - 0.363688051336531*(1 - 0.271643772434313*x0)**3
