,symbolic_function
0,1.32500517368317 - 1.77054715156555*tanh(1.42931997776031*x0 + 0.540159940719604)
1,-0.478990197181702 + 0.954514236961775*exp(-2.30755996704102*x0)
2,0.821472369889829*(1 - 0.749410246912767*x0)**3 - 0.380473017692566
3,-0.0645719692111015*tan(0.100019924342632*x0 + 4.75999975204468) - 0.833807408809662
4,0.83696755903204*(0.952326170232503 - x0)**2 - 0.349687993526459
