,symbolic_function
0,0.0594266653060913 - 0.65747481584549*tanh(2.00027990341187*x0 - 0.229999929666519)
1,0.845753293372066*(1 - 0.71606038992545*x0)**3 - 0.586351275444031
2,0.829263659955816*(0.970212616369976 - x0)**2 - 0.545916795730591
3,41.0917053222656 - 41.6374893188477*sin(0.199999913573265*x0 - 4.90623998641968)
4,3.56632375717163*cos(0.700999915599823*x0 - 3.81200003623962) + 3.02280688285828
