,symbolic_function
0,2.13888788223267*sin(0.492079854011536*x0 - 0.423519849777222) + 0.913008272647858
1,0.920597612857819 - 2.16179299354553*cos(0.486959844827652*x0 + 7.43135976791382)
2,2.89272570610046*tanh(0.363759875297546*x0 - 0.306639850139618) + 0.894389748573303
3,7.3811586881369*(-0.0676906708736863*x0 - 1)**2 - 7.3532829284668
4,-9.79181156762256*(-0.0339950837079008*x0 - 1)**3 - 9.76369571685791
