,symbolic_function
0,0.964840769767761*sin(0.50791984796524*x0 + 9.27680015563965) - 0.130228742957115
1,-1.04858827590942*cos(0.467999845743179*x0 - 1.68191993236542) - 0.103824257850647
2,0.0167865455150604 - 1.85050463676453*tanh(0.267999947071075*x0 + 0.00152014789637178)
3,2.96273331465994*(1 - 0.0857644610349001*x0)**2 - 2.94673848152161
4,3.81843540946561*(1 - 0.0444152716044221*x0)**3 - 3.80230808258057
