,symbolic_function
0,0.870742976665497*sin(0.443999856710434*x0 - 0.583839893341064) + 0.286724448204041
1,0.319270044565201 - 0.918057084083557*cos(0.423999845981598*x0 + 0.978479862213135)
2,1.02856767177582*tanh(0.371279835700989*x0 - 0.419199854135513) + 0.214431509375572
3,0.97181837410452*(-0.17087434318813*x0 - 1)**2 - 1.16639721393585
4,-1.3549778213768*(-0.0818317593238067*x0 - 1)**3 - 1.54962038993835
