,symbolic_function
0,-0.000218781526200473*cos(6.70695972442627*x0 - 2.15359997749329) - 5.56136219529435e-5
1,0.000218782384763472*sin(6.70759963989258*x0 + 8.84208011627197) - 5.56427839910612e-5
2,0.000188129561138339*tanh(9.27903938293457*x0 - 5.27239990234375) - 4.41534102719743e-5
3,0.000167070465977304 - 7.87973331171088e-5*Abs(9.79047966003418*x0 - 7.94632005691528)
4,0.00211347825825214 - 0.00252417285265875*(1 - 0.137778653804163*x0)**2
