,symbolic_function
0,0.495626658201218*tan(0.420239865779877*x0 - 8.60704040527344) - 0.391042470932007
1,1.12623369693756 - 0.50386917591095*log(7.11199998855591 - 6.28760004043579*x0)
2,0.465794730108394*exp(0.958799839019775*x0) - 0.328208804130554
3,3.68238162994385*tanh(0.550479888916016*x0 - 1.38903987407684) + 3.3889491558075
4,-0.303377372383452*(-0.491924936128586*x0 - 1)**3 - 0.165846660733223
