,symbolic_function
0,0.424008250236511*tanh(0.451199859380722*x0 - 0.757439851760864) + 0.192440658807755
1,0.552854239940643*cos(0.393679857254028*x0 - 2.60279989242554) + 0.395932555198669
2,0.32259264588356 - 0.474970400333405*sin(0.435999870300293*x0 + 8.41928005218506)
3,0.106240517925471*(-0.540000009536743*x0 - 1)**2 - 0.185279354453087
4,-0.165925957052896*(-0.234273049802679*x0 - 1)**3 - 0.245234280824661
