,symbolic_function
0,0.240967124700546 - 0.35478886961937*tan(1.02543985843658*x0 - 5.99687957763672)
1,0.64475953578949*log(8.64008045196533 - 5.32000017166138*x0) - 1.25382649898529
2,0.784586429595947 - 0.648048038939868*exp(0.613119840621948*x0)
3,0.430616496066697*(-0.307693745814931*x0 - 1)**3 + 0.567158579826355
4,0.465521216392517 - 0.328991222753905*(-0.604348014004614*x0 - 1)**2
