,symbolic_function
0,0.143904760479927 - 7.27965657755573e-5*exp(-10.0*x0)
1,5.98713256749761e-8*tan(10.0*x0 + 1.59999990463257) + 0.143834009766579
2,0.144074693322182 - 0.000242741236888833*(0.999993991851807 - x0)**3
3,0.143831938505173
4,0.144196078181267 - 0.000364126253771246*(0.999985980987549 - x0)**2
