,symbolic_function
0,-1.94921672344208*sin(0.413999855518341*x0 - 7.19352006912231) - 1.15121424198151
1,-2.04718828201294*cos(0.399199813604355*x0 + 3.7946400642395) - 1.23759460449219
2,1.00981020927429 - 0.619715938687788*(-0.410867098193535*x0 - 1)**2
3,0.933788448753118*(-0.183667968664655*x0 - 1)**3 + 1.32465124130249
4,-8.27294445037842*tanh(0.208800002932549*x0 - 1.21183979511261) - 6.53522443771362
