,symbolic_function
0,-0.0144916856661439*Abs(4.42827987670898*x0 - 1.35212004184723) - 0.0147093236446381
1,-0.762316644191742*cos(0.084800012409687*x0 + 4.3541202545166) - 0.266147077083588
2,-0.792068839073181*sin(0.0815600082278252*x0 - 0.343039929866791) - 0.264952838420868
3,-0.90092808008194*tanh(0.0720000192523003*x0 - 0.30007991194725) - 0.262441724538803
4,0.00449280675646602 - 0.0640965261890774*x0
