,symbolic_function
0,1.62571477890015*sin(2.5259997844696*x0 + 0.100019924342632) + 0.57555091381073
1,0.575914144515991 - 1.62582278251648*cos(2.5239999294281*x0 - 4.59999990463257)
2,-1.12338638305664*tanh(0.72599995136261*x0 - 4.99700021743774) - 0.231473982334137
3,1.05719923973083 - 0.51427173614502*Abs(0.496319890022278*x0 - 2.57956004142761)
4,0.563783050984767*(1 - 0.306758621504528*x0)**3 + 0.787849545478821
