,symbolic_function
0,0.347970247268677 - 0.1349565385454*(0.256259436235943 - x0)**2
1,0.402849644422531*cos(0.85779994726181*x0 - 0.193999916315079) - 0.0563182532787323
2,0.41194885969162*sin(0.84771990776062*x0 - 4.90432024002075) - 0.0654135942459106
3,0.122096538543701*tanh(1.73475992679596*x0 + 1.12067997455597) + 0.240640103816986
4,0.359425693750381 - 0.0430526930390763*(0.772992219456833 - x0)**3
