,symbolic_function
0,1.68421053886414 - 0.0579810325907587*(0.782354999995931 - x0)**3
1,0.616639852523804*tan(0.325999915599823*x0 - 0.199999928474426) + 1.62670505046844
2,0.396922916173935*tanh(2.66335988044739*x0 + 0.884079933166504) + 1.44576358795166
3,2.82874202728271 - 0.959441423416138*log(4.14955997467041 - 0.810279905796051*x0)
4,2.58713293075562 - 1.06258388574043*exp(-0.24079991877079*x0)
