,symbolic_function
0,2.31530157179805e-6*tan(0.399999916553497*x0 + 4.72000026702881) + 0.000302641186863184
1,0.00268947203728796*exp(4.99998998641968*x0) - 0.00268948636949062
2,2.31762187468121e-5*log(4.97700023651123*x0 + 0.0020000021904707) + 0.000130950604216196
3,-0.00450513562100241*(-x0 - 1)**3 - 0.00450519379228354
4,0.00676906129228882*(-x0 - 1)**2 - 0.00676913419738412
