,symbolic_function
0,0.00267621079278705*exp(4.99900007247925*x0) - 0.00267317076213658
1,1.35161026264541e-5*tan(0.00800006836652756*x0 - 4.71524000167847) - 0.00473747635260224
2,0.00456734953157689*(0.999960040085802*x0 + 1)**3 - 0.00456529622897506
3,0.00690488523105159*(x0 + 1)**2 - 0.00690315989777446
4,-0.000230884339543991*log(0.100039929151535 - 3.97560000419617*x0) - 0.000513315375428647
