,symbolic_function
0,0.979816138744354*sin(0.500399887561798*x0 + 3.00175976753235) - 0.124384090304375
1,-0.980960428714752*cos(0.499479919672012*x0 - 1.71335995197296) - 0.127369806170464
2,0.0212234556674957 - 1.86686944961548*tanh(0.265719920396805*x0 + 0.00388007145375013)
3,2.96273331465994*(1 - 0.0857644610349001*x0)**2 - 2.94673848152161
4,3.81843540946561*(1 - 0.0444152716044221*x0)**3 - 3.80230808258057
