,symbolic_function,complexity,log_loss,alpha,score
0,1.52364118212137*cos(0.620761311654249*x0 + 0.52080511405668) - 0.979916521480501,5,-18.416214762242326,tensor(1.0000e-05),2.797177249304554
1,0.415194547149737 - 0.742434286942677*x0,2,-10.024683014328664,tensor(0.0003),2.802877353745173
2,-0.114596620500088,0,-4.418928306838318,tensor(0.0100),0.0
