2025-05-24 10:37:02,549 - INFO - A new study created in Journal with name: model-kuramoto-mpnn-kuramoto_mpnn_ic1_s5_pd_seed
2025-05-24 10:48:37,674 - INFO - Trial 20 finished with value: 0.12021167576313019 and parameters: {'lr': 0.005585394282230286, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.004617347374581781, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.005506170624642297}. Best is trial 14 with value: 0.03627271205186844.
2025-05-24 10:49:14,699 - INFO - Trial 21 finished with value: 0.036401454359292984 and parameters: {'lr': 0.009531827822705187, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.011326227996006622, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0028273584362146615}. Best is trial 14 with value: 0.03627271205186844.
2025-05-24 10:49:51,570 - INFO - Trial 22 finished with value: 0.0444897897541523 and parameters: {'lr': 0.00921002591389218, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.011607971836171724, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0028777816972232703}. Best is trial 14 with value: 0.03627271205186844.
2025-05-24 10:50:28,600 - INFO - Trial 23 finished with value: 0.036275994032621384 and parameters: {'lr': 0.004438868639134995, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.002139124320652888, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'tanh', 'drop_p_h_net': 0.020210934400187033}. Best is trial 14 with value: 0.03627271205186844.
2025-05-24 10:51:05,701 - INFO - Trial 24 finished with value: 0.05968104675412178 and parameters: {'lr': 0.013112013262951977, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.002047088884199033, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0030357897873861694}. Best is trial 14 with value: 0.03627271205186844.
2025-05-24 10:51:42,477 - INFO - Trial 25 finished with value: 0.14193138480186462 and parameters: {'lr': 0.0038375910111934854, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.0005797419389681773, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0144125688694607}. Best is trial 14 with value: 0.03627271205186844.
2025-05-24 10:52:19,303 - INFO - Trial 26 finished with value: 0.0689179003238678 and parameters: {'lr': 0.023189950471016515, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.016804350658416966, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'tanh', 'drop_p_h_net': 0.08157230505460664}. Best is trial 14 with value: 0.03627271205186844.
2025-05-24 10:52:56,811 - INFO - Trial 27 finished with value: 0.07239773124456406 and parameters: {'lr': 0.0019531297081194364, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.005746263105567893, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'tanh', 'drop_p_h_net': 0.006699770918757575}. Best is trial 14 with value: 0.03627271205186844.
2025-05-24 10:53:34,270 - INFO - Trial 28 finished with value: 0.038884036242961884 and parameters: {'lr': 0.0073791641795111105, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.002186847512399919, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0042028955345324885}. Best is trial 14 with value: 0.03627271205186844.
2025-05-24 10:54:17,702 - INFO - Trial 29 finished with value: 0.15242506563663483 and parameters: {'lr': 0.0035603955609134004, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'tanh', 'drop_p_g_net': 0.012824851427118837, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 8, 'af_h_net': 'relu', 'drop_p_h_net': 0.00031532127638710545}. Best is trial 14 with value: 0.03627271205186844.
