,symbolic_function
0,2.56660127639771*sin(0.273999929428101*x0 - 1.00089991092682) + 1.82386994361877
1,2.55083847045898*cos(0.275999933481216*x0 + 3.70000004768372) + 1.83295011520386
2,3.50607872009277*tanh(0.199839934706688*x0 - 0.735839903354645) + 1.84191644191742
3,0.251795589923859*Abs(2.56771993637085*x0 - 1.48203992843628) - 0.167768239974976
4,14.9779376983643 - 15.5767026851668*(1 - 0.0225393438308315*x0)**2
