,symbolic_function
0,1.66115832328796 - 1.90982538358743*(-0.432374998372004*x0 - 1)**2
1,3.72240543365479 - 3.971089049697*exp(0.415999948978424*x0)
2,2.01409316062927*sin(0.911399960517883*x0 - 3.59152007102966) - 1.12455940246582
3,1.61732196807861*cos(1.10395991802216*x0 + 1.18363988399506) - 0.859239637851715
4,3.90149188041687*log(4.74724006652832 - 2.00911998748779*x0) - 6.32550764083862
