,symbolic_function
0,6.81396704749204e-5
1,0.000191401120048264*x0 - 6.8299836117159e-5
2,0.00179800628809803*exp(0.0999999269843102*x0) - 0.00186292629223317
3,0.000346707231511309*(-0.240004311639299*x0 - 1)**2 - 0.000407788087613881
4,7.00222299201414e-5*sin(3.24984002113342*x0 - 1.93555998802185) + 4.35515466961078e-5
