,symbolic_function
0,0.000658875453114094*(-0.442171550165756*x0 - 1)**2 - 0.00067698978818953
1,-0.00099791508102867*(-0.196748687198884*x0 - 1)**3 - 0.00101683777756989
2,0.00167813865525556*exp(0.354279935359955*x0) - 0.00169777823612094
3,0.000452381849754602 - 0.000568409916013479*sin(1.34127998352051*x0 - 4.07344007492065)
4,0.000568336632568389*cos(1.34155988693237*x0 + 3.78015995025635) + 0.000452486798167229
