,symbolic_function
0,0.249225631356239*sin(1.25035989284515*x0 + 1.98483991622925) - 1.2831312417984
1,0.249287873506546*cos(1.24987995624542*x0 + 0.414479941129684) - 1.28312528133392
2,-0.283761084079742*tanh(1.09315991401672*x0 - 0.933879911899567) - 1.26130890846252
3,-0.0936946191762047*(-x0 - 0.890609187917204)**2 - 0.975746154785156
4,0.136015532517637*(-0.430390308887469*x0 - 1)**3 - 0.912950754165649
