2025-05-24 10:18:08,531 - INFO - A new study created in Journal with name: model-population-mpnn-population_mpnn_ic1_s5_pd_seed
2025-05-24 10:25:50,770 - INFO - Trial 15 finished with value: 0.18674688041210175 and parameters: {'lr': 0.03016892940179901, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.005910210668590748, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.059967542189742}. Best is trial 11 with value: 0.10595065355300903.
2025-05-24 10:26:29,196 - INFO - Trial 16 finished with value: 0.7777180671691895 and parameters: {'lr': 0.0005241879682676798, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00043245490384632236, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'tanh', 'drop_p_h_net': 0.013307511506126317}. Best is trial 11 with value: 0.10595065355300903.
2025-05-24 10:26:46,752 - INFO - Trial 17 finished with value: 0.1766582429409027 and parameters: {'lr': 0.005635142035840021, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.01772819697018353, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0027790527187282516}. Best is trial 11 with value: 0.10595065355300903.
2025-05-24 10:27:20,508 - INFO - Trial 18 finished with value: 0.10035524517297745 and parameters: {'lr': 0.014009678778810349, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.00799808885780897, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.151606684580273}. Best is trial 18 with value: 0.10035524517297745.
2025-05-24 10:27:38,707 - INFO - Trial 19 finished with value: 0.23317240178585052 and parameters: {'lr': 0.01917100065906778, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'softplus', 'drop_p_g_net': 0.012924497391559755, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.14858312090187173}. Best is trial 18 with value: 0.10035524517297745.
2025-05-24 10:28:05,309 - INFO - Trial 20 finished with value: 0.15070116519927979 and parameters: {'lr': 0.01170019195290584, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.0005629766322454017, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.11349740692118361}. Best is trial 18 with value: 0.10035524517297745.
2025-05-24 10:28:25,235 - INFO - Trial 21 finished with value: 0.12897329032421112 and parameters: {'lr': 0.007653878252672416, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.005709998274120871, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.018516652025677125}. Best is trial 18 with value: 0.10035524517297745.
2025-05-24 10:28:37,371 - INFO - Trial 22 finished with value: 0.21041923761367798 and parameters: {'lr': 0.021137833397861325, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.003233105013273479, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.46501362459109685}. Best is trial 18 with value: 0.10035524517297745.
2025-05-24 10:29:10,122 - INFO - Trial 23 finished with value: 0.21984748542308807 and parameters: {'lr': 0.004060440489371275, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.008656655831621705, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.06753406025584091}. Best is trial 18 with value: 0.10035524517297745.
2025-05-24 10:29:32,269 - INFO - Trial 24 finished with value: 0.13827675580978394 and parameters: {'lr': 0.008024003425520015, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.0016720413732477808, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.029123937083672263}. Best is trial 18 with value: 0.10035524517297745.
2025-05-24 10:29:57,592 - INFO - Trial 25 finished with value: 0.20154811441898346 and parameters: {'lr': 0.014406176940325801, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.036273819675558115, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.0029601765271606317}. Best is trial 18 with value: 0.10035524517297745.
2025-05-24 10:30:36,910 - INFO - Trial 26 finished with value: 0.1369524896144867 and parameters: {'lr': 0.04637837820137106, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.0007005908192629492, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'tanh', 'drop_p_h_net': 0.00039430757097145826}. Best is trial 18 with value: 0.10035524517297745.
2025-05-24 10:31:06,659 - INFO - Trial 27 finished with value: 0.14552249014377594 and parameters: {'lr': 0.025452296392700566, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.004140545739294795, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'tanh', 'drop_p_h_net': 0.005980858931814565}. Best is trial 18 with value: 0.10035524517297745.
2025-05-24 10:31:29,743 - INFO - Trial 28 finished with value: 0.16369850933551788 and parameters: {'lr': 0.010615527703715773, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.010973103245601565, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'softplus', 'drop_p_h_net': 0.010051872181492968}. Best is trial 18 with value: 0.10035524517297745.
2025-05-24 10:31:50,219 - INFO - Trial 29 finished with value: 1.2096670866012573 and parameters: {'lr': 0.003315253329017602, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 24, 'af_g_net': 'tanh', 'drop_p_g_net': 0.4936388099679684, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.00031532127638710545}. Best is trial 18 with value: 0.10035524517297745.
