,symbolic_function
0,0.093002662062645*tan(0.301999926567078*x0 + 1.59376001358032) + 0.188102260231972
1,0.284442663192749*cos(5.0*x0 - 2.39999985694885) - 0.220554649829865
2,-0.284450739622116*sin(5.0*x0 + 2.29999995231628) - 0.219723284244537
3,0.457974225282669*tanh(5.0*x0 - 1.39999997615814) - 0.559378504753113
4,0.122613452374935*Abs(2.54764008522034*x0 - 0.294239938259125) - 0.449747085571289
