,symbolic_function
0,-0.58887779712677*tanh(5.0*x0 - 2.20000004768372) - 0.568556904792786
1,0.688797056674957*sin(3.28751993179321*x0 + 1.92875993251801) - 0.463449597358704
2,-0.688693702220917*cos(3.28719997406006*x0 - 2.78372001647949) - 0.463594853878021
3,2.0941669350216*(0.91568863611151 - x0)**2 - 1.1527841091156
4,1.88933166723076*(1 - 0.817752601608021*x0)**3 - 1.19347381591797
