,symbolic_function
0,0.231971845030785 - 0.0166280455887318*tan(0.535999953746796*x0 + 4.70223999023438)
1,-2.89942193031311*tanh(5.0*x0 - 0.799999952316284) - 2.69334721565247
2,0.387209951877594 - 0.103648647665977*Abs(4.99994993209839*x0 + 3.5)
3,0.287805080413818 - 0.760170749961192*(-x0 - 0.773413027721807)**2
4,36.5584106445313*sin(0.204039916396141*x0 + 1.72859990596771) - 36.270565032959
