,symbolic_function
0,1.0838475227356*tanh(5.0*x0 - 2.59999990463257) + 0.896419763565063
1,1.59407889842987 - 1.95847702026367*sin(1.06079995632172*x0 + 2.08616018295288)
2,1.58869898319244 - 1.95315873622894*cos(1.06283986568451*x0 + 0.516039907932281)
3,0.826073357072144*(-x0 - 0.552389224018401)**2 - 0.346120119094849
4,-0.278200801819142*(-0.940112749275073*x0 - 1)**3 - 0.355722010135651
