,symbolic_function
0,-0.455768376588821*tanh(4.90000009536743*x0 - 5.0) - 0.354244768619537
1,0.102269213039625*(-0.272950788460499*x0 - 1)**3 + 0.0419541895389557
2,0.0612509995698929 - 0.118609986715185*exp(0.512519955635071*x0)
3,0.18584743142128 - 0.203085043701623*(-0.322428228790496*x0 - 1)**2
4,10.4152307510376*cos(0.0640000253915787*x0 + 0.199999928474426) - 10.2287797927856
