,symbolic_function
0,0.0587392337620258*sin(2.0233199596405*x0 + 0.932279944419861) - 0.0286902952939272
1,-0.0587418489158154*cos(2.02347993850708*x0 - 3.77972006797791) - 0.0286899674683809
2,0.0737428590655327*tanh(1.66159999370575*x0 - 0.550719916820526) + 0.0398483425378799
3,0.0283181518719329*exp(2.4676399230957*x0) - 0.0328537076711655
4,0.0680796763377486*(-0.327533601035538*x0 - 1)**2 - 0.058768592774868
