,symbolic_function
0,-3.46840170095675e-5
1,2.44319757816973e-6 - 4.74390526505886e-5*x0
2,9.07562116481131e-6*log(3.71243977546692 - 3.81440019607544*x0) - 2.8555992685142e-5
3,-2.16474978173854e-7*exp(5.0*x0) - 2.12800423469162e-5
4,-2.32819862888656e-5*(-x0 - 0.336479372975229)**2 - 4.99794077768456e-6
