,symbolic_function
0,0.000231744442949539*x0 + 8.37397888426104e-5
1,2.36354222437229e-5*exp(2.13691997528076*x0) + 0.000133404755615629
2,0.000212680073179239*(0.140006701790905 - x0)**2 + 0.000172463871422224
3,0.000309475173708051 - 0.000116801587864757*log(4.18616008758545 - 3.38751983642578*x0)
4,0.000298668281175196 - 0.000119341319077648*cos(2.47147989273071*x0 - 0.679919898509979)
