,symbolic_function
0,0.0182696878910065*sin(3.97368001937866*x0 + 2.97000002861023) + 0.0047689531929791
1,0.0182711519300938*cos(3.97460007667542*x0 - 4.88532018661499) + 0.00477797212079167
2,0.0892488262667959*(0.41084506214418 - x0)**2 - 0.0120339076966047
3,0.0139170456677675*Abs(4.55991983413696*x0 - 2.08055996894836) - 0.019041495397687
4,0.0164756905287504*tanh(4.69997978210449*x0 - 3.86800003051758) + 0.00394737394526601
