,symbolic_function
0,0.00013868001330048*(1 - 0.640008981830628*x0)**2 + 2.35775441979058e-5
1,-3.07716691168025e-5 + 0.000194870570583939*exp(-0.999999940395355*x0)
2,2.25128405872965e-5*Abs(4.98496007919312*x0 - 4.50600004196167) + 4.39784089394379e-5
3,0.000157996492888593*(1 - 0.385528925189156*x0)**3 + 4.46252306574024e-6
4,-3.61976361773486e-7*tan(0.000760073948185891*x0 - 1.56963992118835) - 0.000148267485201359
