2025-07-14 09:03:47,388 - INFO - A new study created in Journal with name: model-real-epid-mpnn-real_epid_mpnn_7
2025-07-14 09:07:30,689 - INFO - Trial 12 finished with value: 0.1674003303050995 and parameters: {'lr': 0.013996676137291832, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 8, 'af_g_net': 'tanh', 'drop_p_g_net': 0.3733148516728519, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.02938471606917192}. Best is trial 1 with value: 0.16247524321079254.
2025-07-14 09:08:01,237 - INFO - Trial 13 finished with value: 0.16274291276931763 and parameters: {'lr': 0.014480801786341013, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0014022272520283015, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.48332244907036037}. Best is trial 1 with value: 0.16247524321079254.
2025-07-14 09:08:11,273 - INFO - Trial 14 finished with value: 0.1783442348241806 and parameters: {'lr': 0.010160987205515386, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.002654087159539985, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'tanh', 'drop_p_h_net': 0.32685693358483225}. Best is trial 1 with value: 0.16247524321079254.
2025-07-14 09:08:32,797 - INFO - Trial 15 finished with value: 0.19850899279117584 and parameters: {'lr': 0.0010527935753723103, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0013994456791280173, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'softplus', 'drop_p_h_net': 0.002040424114927123}. Best is trial 1 with value: 0.16247524321079254.
2025-07-14 09:08:52,276 - INFO - Trial 16 finished with value: 0.16721805930137634 and parameters: {'lr': 0.0025197855868025875, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00023581315070097782, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.08162571024651262}. Best is trial 1 with value: 0.16247524321079254.
2025-07-14 09:09:11,569 - INFO - Trial 17 finished with value: 0.18079502880573273 and parameters: {'lr': 0.008348095409231298, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'tanh', 'drop_p_g_net': 0.03079768970730946, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.014997956671302751}. Best is trial 1 with value: 0.16247524321079254.
2025-07-14 09:09:27,428 - INFO - Trial 18 finished with value: 0.18418936431407928 and parameters: {'lr': 0.0036469678619619923, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.10319526535669907, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'relu', 'drop_p_h_net': 0.43121633742251575}. Best is trial 1 with value: 0.16247524321079254.
2025-07-14 09:09:40,381 - INFO - Trial 19 finished with value: 0.18003332614898682 and parameters: {'lr': 0.02163884393685489, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0029573161721565284, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 56, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00010055536209946451}. Best is trial 1 with value: 0.16247524321079254.
2025-07-14 09:10:01,424 - INFO - Trial 20 finished with value: 0.1760745644569397 and parameters: {'lr': 0.0010608453719732763, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.01304033754570767, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0007423585398872886}. Best is trial 1 with value: 0.16247524321079254.
2025-07-14 09:10:16,135 - INFO - Trial 21 finished with value: 0.16564612090587616 and parameters: {'lr': 0.021247523745638167, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 24, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0021157274611921842, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.003325587211238644}. Best is trial 1 with value: 0.16247524321079254.
2025-07-14 09:10:30,880 - INFO - Trial 22 finished with value: 0.16275432705879211 and parameters: {'lr': 0.03210975863151377, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 24, 'af_g_net': 'tanh', 'drop_p_g_net': 0.005026701399339344, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0032406140786842685}. Best is trial 1 with value: 0.16247524321079254.
2025-07-14 09:10:48,339 - INFO - Trial 23 finished with value: 0.16678066551685333 and parameters: {'lr': 0.048391800660295144, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0005000491681876842, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.004250590597449702}. Best is trial 1 with value: 0.16247524321079254.
2025-07-14 09:11:04,709 - INFO - Trial 24 finished with value: 0.16785572469234467 and parameters: {'lr': 0.011082541118642278, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 8, 'af_g_net': 'tanh', 'drop_p_g_net': 0.014790735530209766, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0009083804281494762}. Best is trial 1 with value: 0.16247524321079254.
2025-07-14 09:11:30,847 - INFO - Trial 25 finished with value: 0.16094069182872772 and parameters: {'lr': 0.030445664908248283, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0010825806239898618, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.02841549033687128}. Best is trial 25 with value: 0.16094069182872772.
2025-07-14 09:11:42,735 - INFO - Trial 26 finished with value: 0.16209623217582703 and parameters: {'lr': 0.003960104313167076, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'tanh', 'drop_p_g_net': 0.001106468873607265, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.02449082654674996}. Best is trial 25 with value: 0.16094069182872772.
2025-07-14 09:11:53,583 - INFO - Trial 27 finished with value: 0.17116478085517883 and parameters: {'lr': 0.00477736043929676, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'tanh', 'drop_p_g_net': 0.00033464464505691044, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.022834710540659046}. Best is trial 25 with value: 0.16094069182872772.
2025-07-14 09:12:02,194 - INFO - Trial 28 finished with value: 0.20898400247097015 and parameters: {'lr': 0.001457053035734175, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0001393139691853207, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 56, 'af_h_net': 'relu', 'drop_p_h_net': 0.07946758986691778}. Best is trial 25 with value: 0.16094069182872772.
2025-07-14 09:12:13,045 - INFO - Trial 29 finished with value: 0.19823938608169556 and parameters: {'lr': 0.0031960222800612456, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0008934819106104497, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 64, 'af_h_net': 'softplus', 'drop_p_h_net': 0.027476163127401768}. Best is trial 25 with value: 0.16094069182872772.
2025-07-14 09:12:24,187 - INFO - Trial 30 finished with value: 0.20329906046390533 and parameters: {'lr': 0.002405291875275426, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.08794011975309529, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 56, 'af_h_net': 'relu', 'drop_p_h_net': 0.15409931709195746}. Best is trial 25 with value: 0.16094069182872772.
2025-07-14 09:12:35,276 - INFO - Trial 31 finished with value: 0.16692931950092316 and parameters: {'lr': 0.0068942841834162185, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'tanh', 'drop_p_g_net': 0.001209373477732105, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.22325874728355155}. Best is trial 25 with value: 0.16094069182872772.
2025-07-14 09:12:47,843 - INFO - Trial 32 finished with value: 0.16873471438884735 and parameters: {'lr': 0.003974741216929854, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'tanh', 'drop_p_g_net': 0.002039179327243238, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 64, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0638701817276359}. Best is trial 25 with value: 0.16094069182872772.
