,symbolic_function
0,0.0355802880562443*(-0.512763091332187*x0 - 1)**3 + 0.0355814062058926
1,0.0272695682942867 - 0.027462464627841*(-x0 - 0.996468851946839)**2
2,0.0526373311877251 - 0.0526359720548117*exp(1.03967988491058*x0)
3,0.101832687854767 - 0.00723563460633159*tan(0.0380000472068787*x0 + 1.49986004829407)
4,-0.0170104652643204*sin(3.28852009773254*x0 - 0.199879929423332) - 0.00338274892419577
